Hello, World!
Poole
Poole has 1 polygons
Polygon 0 has 819 points
399686 , 99048
399714 , 99060
399804 , 99092
399978 , 99158
400000 , 99164
400033 , 99176
400148 , 99220
400220 , 99244
400241 , 99248
400296 , 99254
400334 , 99254
400397 , 99247
400418 , 99243
400448 , 99234
400519 , 99200
400545 , 99185
400562 , 99173
400591 , 99149
400616 , 99125
400641 , 99098
400690 , 99057
400724 , 99094
400757 , 99076
400812 , 99060
400833 , 99052
400925 , 99036
400942 , 99037
401030 , 99057
401064 , 99079
401111 , 99097
401133 , 99100
401165 , 99100
401175 , 99098
401186 , 99093
401194 , 99087
401218 , 99062
401240 , 99045
401247 , 99043
401258 , 99044
401294 , 99066
401299 , 99072
401308 , 99089
401330 , 99108
401356 , 99127
401364 , 99131
401405 , 99134
401411 , 99134
401422 , 99131
401441 , 99119
401448 , 99102
401451 , 99068
401457 , 99057
401466 , 99047
401486 , 99042
401516 , 99043
401528 , 99050
401545 , 99066
401576 , 99106
401582 , 99123
401582 , 99134
401576 , 99173
401578 , 99179
401594 , 99203
401602 , 99209
401621 , 99217
401638 , 99216
401665 , 99225
401676 , 99225
401708 , 99219
401741 , 99215
401770 , 99209
401798 , 99200
401822 , 99196
401856 , 99197
401959 , 99205
402017 , 99212
402091 , 99209
402138 , 99201
402148 , 99205
402178 , 99212
402234 , 99212
402281 , 99204
402296 , 99198
402304 , 99178
402307 , 99175
402332 , 99159
402351 , 99144
402392 , 99107
402455 , 99044
402483 , 99029
402501 , 99022
402533 , 99018
402575 , 99020
402644 , 99028
402667 , 99018
402683 , 99009
402737 , 98972
402754 , 98965
402833 , 98947
402850 , 98941
402912 , 98910
402924 , 98896
403033 , 98860
403060 , 98862
403069 , 98865
403091 , 98879
403146 , 98918
403241 , 98972
403254 , 98976
403360 , 98992
403428 , 98992
403457 , 98995
403504 , 98996
403533 , 99002
403568 , 99014
403592 , 99027
403602 , 99039
403630 , 99087
403658 , 99122
403716 , 99173
403768 , 99240
403786 , 99259
403831 , 99332
403906 , 99434
403943 , 99478
403982 , 99510
404028 , 99558
404057 , 99583
404106 , 99613
404122 , 99625
404131 , 99632
404155 , 99657
404190 , 99705
404202 , 99726
404206 , 99749
404208 , 99778
404206 , 99830
404211 , 99854
404223 , 99877
404252 , 99912
404259 , 99918
404288 , 99926
404299 , 99927
404322 , 99922
404346 , 99919
404384 , 99908
404466 , 99868
404488 , 99854
404537 , 99812
404562 , 99786
404581 , 99763
404598 , 99735
404603 , 99717
404600 , 99641
404603 , 99611
404606 , 99601
404632 , 99564
404639 , 99527
404652 , 99474
404663 , 99389
404660 , 99313
404657 , 99286
404644 , 99229
404634 , 99173
404631 , 99148
404630 , 99113
404627 , 99095
404608 , 99002
404596 , 98930
404588 , 98899
404587 , 98891
404591 , 98857
404588 , 98837
404584 , 98822
404567 , 98788
404557 , 98764
404546 , 98756
404539 , 98748
404519 , 98689
404506 , 98662
404484 , 98641
404418 , 98601
404409 , 98591
404398 , 98569
404394 , 98554
404397 , 98527
404404 , 98512
404462 , 98454
404470 , 98448
404478 , 98445
404496 , 98439
404520 , 98435
404528 , 98432
404534 , 98426
404539 , 98416
404541 , 98402
404540 , 98374
404534 , 98343
404507 , 98258
404502 , 98231
404504 , 98201
404528 , 98138
404537 , 98125
404544 , 98118
404569 , 98099
404591 , 98084
404610 , 98076
404653 , 98068
404675 , 98053
404690 , 98034
404712 , 97991
404747 , 97955
404770 , 97936
404792 , 97921
404796 , 97916
404802 , 97902
404816 , 97851
404825 , 97836
404831 , 97829
404839 , 97827
404848 , 97827
404885 , 97831
404935 , 97845
405001 , 97859
404994 , 97782
404982 , 97748
404960 , 97705
404984 , 97642
404962 , 97584
404951 , 97544
404914 , 97441
404880 , 97373
404764 , 97314
404707 , 97273
404643 , 97232
404584 , 97180
404527 , 97175
404436 , 97116
404404 , 97089
404361 , 97079
404256 , 97004
404133 , 96895
403999 , 96759
403999 , 96278
404001 , 96197
403897 , 96089
403997 , 95992
403999 , 95957
404008 , 95907
404045 , 95875
404067 , 95841
404059 , 95675
404049 , 95512
404043 , 95347
404026 , 95059
404101 , 95049
404175 , 95029
404270 , 94995
404375 , 94963
404457 , 94943
404552 , 94924
404646 , 94911
404786 , 94827
404645 , 94653
404677 , 94635
404705 , 94617
404730 , 94624
404762 , 94645
404780 , 94654
404810 , 94613
404876 , 94560
404907 , 94538
404964 , 94492
405021 , 94456
405048 , 94442
405071 , 94424
405153 , 94351
405182 , 94328
405208 , 94298
405248 , 94276
405287 , 94249
405330 , 94216
405346 , 94198
405378 , 94174
405205 , 93935
405144 , 93962
405064 , 93978
405001 , 93987
404966 , 93994
404848 , 93987
404730 , 94000
404744 , 93928
404727 , 93903
404600 , 93798
404516 , 93714
404448 , 93666
404409 , 93648
404372 , 93636
404313 , 93591
404340 , 93572
404502 , 93443
404438 , 93252
404386 , 93086
404470 , 93063
404347 , 92910
404340 , 92867
404245 , 92419
404195 , 92160
404147 , 91713
404175 , 91574
404145 , 91561
404095 , 91557
404052 , 91556
403947 , 91536
403853 , 91504
403860 , 91479
403833 , 91459
403813 , 91431
403804 , 91406
403808 , 91384
403829 , 91358
403874 , 91317
403897 , 91281
403915 , 91245
403924 , 91213
403927 , 91147
403940 , 91113
403954 , 91092
404002 , 91069
404045 , 91038
404068 , 91008
404077 , 90983
404079 , 90954
404074 , 90926
404051 , 90881
404033 , 90853
404008 , 90824
403952 , 90812
403911 , 90806
403878 , 90812
403844 , 90801
403820 , 90778
403810 , 90746
403813 , 90678
403799 , 90624
403801 , 90589
403815 , 90551
403851 , 90360
403813 , 90244
403901 , 90148
403881 , 90107
403865 , 90082
403851 , 90066
403725 , 90007
403724 , 90028
403713 , 90080
403699 , 90110
403689 , 90106
403683 , 90115
403693 , 90122
403681 , 90160
403683 , 90176
403664 , 90192
403647 , 90178
403617 , 90210
403589 , 90213
403575 , 90223
403569 , 90247
403562 , 90231
403553 , 90234
403557 , 90245
403543 , 90247
403500 , 90249
403492 , 90245
403457 , 90235
403464 , 90226
403455 , 90219
403447 , 90233
403428 , 90227
403405 , 90201
403373 , 90152
403385 , 90145
403379 , 90135
403371 , 90138
403366 , 90126
403372 , 90073
403392 , 90060
403389 , 90051
403372 , 90060
403368 , 90040
403376 , 90034
403373 , 90028
403366 , 90033
403364 , 90020
403378 , 90012
403375 , 90005
403364 , 90010
403347 , 89987
403373 , 89970
403371 , 89963
403344 , 89977
403346 , 89900
403362 , 89881
403366 , 89867
403383 , 89850
403379 , 89834
403340 , 89880
403304 , 89900
403259 , 89929
403223 , 89967
403208 , 89972
403118 , 90051
403076 , 90099
403034 , 90139
402973 , 90186
402865 , 90067
402856 , 90075
402969 , 90193
402945 , 90214
402847 , 90125
402844 , 90153
402852 , 90154
402854 , 90143
402937 , 90218
402924 , 90228
402934 , 90236
402911 , 90259
402898 , 90242
402890 , 90248
402898 , 90259
402892 , 90280
402919 , 90334
402905 , 90351
402909 , 90358
402924 , 90343
402941 , 90369
402926 , 90381
402933 , 90390
402948 , 90376
402955 , 90381
402934 , 90402
402938 , 90408
402961 , 90390
402974 , 90402
402958 , 90411
402961 , 90419
402994 , 90405
403001 , 90413
402941 , 90434
402944 , 90447
403002 , 90419
403034 , 90418
403105 , 90390
403179 , 90452
403179 , 90486
403161 , 90509
403087 , 90634
403055 , 90665
402977 , 90668
402884 , 90668
402745 , 90678
402644 , 90677
402599 , 90663
402476 , 90636
402460 , 90634
402432 , 90606
402392 , 90543
402392 , 90511
402375 , 90484
402362 , 90459
402352 , 90437
402345 , 90408
402331 , 90393
402328 , 90372
402307 , 90327
402278 , 90280
402236 , 90254
402168 , 90216
402079 , 90141
402043 , 90108
402025 , 90105
401996 , 90115
401958 , 90135
401924 , 90156
401883 , 90173
401814 , 90223
401756 , 90246
401719 , 90257
401711 , 90253
401703 , 90233
401680 , 90239
401668 , 90253
401636 , 90258
401583 , 90261
401568 , 90253
401539 , 90258
401515 , 90251
401487 , 90247
401439 , 90254
401394 , 90254
401389 , 90246
401379 , 90236
401371 , 90232
401340 , 90226
401322 , 90232
401282 , 90232
401280 , 90234
401258 , 90234
401246 , 90236
401180 , 90240
401174 , 90239
401156 , 90242
401126 , 90242
401123 , 90244
401060 , 90246
401044 , 90250
401016 , 90250
401010 , 90252
400968 , 90254
400850 , 90264
400848 , 90266
400833 , 90268
400804 , 90275
400798 , 90278
400782 , 90282
400766 , 90284
400742 , 90290
400678 , 90314
400647 , 90336
400626 , 90356
400611 , 90376
400595 , 90404
400590 , 90418
400586 , 90458
400588 , 90472
400591 , 90480
400593 , 90498
400595 , 90500
400598 , 90514
400608 , 90538
400627 , 90573
400628 , 90579
400645 , 90606
400658 , 90622
400662 , 90630
400674 , 90642
400700 , 90680
400707 , 90686
400722 , 90710
400733 , 90722
400751 , 90746
400758 , 90758
400767 , 90768
400773 , 90778
400773 , 90781
400777 , 90784
400779 , 90792
400784 , 90798
400792 , 90817
400794 , 90818
400801 , 90840
400803 , 90841
400808 , 90854
400808 , 90858
400815 , 90872
400818 , 90885
400821 , 90888
400824 , 90906
400825 , 90933
400829 , 90940
400828 , 90947
400832 , 90960
400833 , 90988
400831 , 90998
400834 , 91022
400853 , 91035
400890 , 91052
400924 , 91060
400926 , 91062
400930 , 91062
400967 , 91074
400982 , 91077
400986 , 91080
401032 , 91086
401042 , 91084
401058 , 91086
401059 , 91084
401082 , 91084
401106 , 91080
401112 , 91077
401126 , 91075
401138 , 91070
401146 , 91070
401158 , 91064
401166 , 91063
401174 , 91058
401191 , 91056
401205 , 91066
401204 , 91063
401222 , 91115
401186 , 91192
401146 , 91254
401099 , 91312
401070 , 91338
401030 , 91367
400993 , 91389
400925 , 91406
400890 , 91407
400833 , 91415
400815 , 91419
400755 , 91438
400716 , 91459
400685 , 91483
400656 , 91515
400637 , 91544
400614 , 91642
400614 , 91815
400622 , 91972
400650 , 92176
400648 , 92198
400680 , 92201
400703 , 92190
400705 , 92202
400682 , 92208
400641 , 92209
400636 , 92221
400570 , 92233
400534 , 92233
400454 , 92245
400407 , 92247
400356 , 92253
400190 , 92256
400082 , 92251
400030 , 92245
399986 , 92238
399931 , 92235
399877 , 92230
399764 , 92217
399750 , 92216
399738 , 92218
399719 , 92218
399716 , 92233
399740 , 92237
